Model Name,Parameters,Publisher,Release Date,Monthly Downloads (HF),Total Likes (HF),Total Stars (GitHub),Open Issues (GitHub),Closed Issues (GitHub),Open PRs (GitHub),Closed PRs (GitHub),GitHub ULR,HF URL,Months Since Release
ChatGLM-3-6B,6B,Tsinghua,2023-10-25,0.010802303349670134,1.0,0.32592350441320694,1.0,0.1169811320754717,0.27586206896551724,0.019138755980861243,https://github.com/THUDM/ChatGLM-6B,https://huggingface.co/THUDM/chatglm-6b,13
ChatGLM-4-9B-Chat,9B,Tsinghua,2024-06-04,0.012314983041124453,0.5424901185770751,0.5447313937016455,0.4329896907216495,0.6477987421383647,0.1724137931034483,0.12679425837320574,https://github.com/THUDM/GLM-4,https://huggingface.co/THUDM/glm-4-9b-chat,5
Llama-3.2-3B-Instruct,3B,Meta,2024-09-25,0.26150000354595865,0.4743083003952569,0.492644655116051,0.7422680412371134,0.061635220125786164,0.10344827586206896,0.20334928229665072,https://github.com/meta-llama/llama-models,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,2
Llama-3.2-1B-Instruct,1B,Meta,2024-09-25,0.3455368594521205,0.43774703557312256,0.492644655116051,0.7422680412371134,0.061635220125786164,0.10344827586206896,0.20334928229665072,https://github.com/meta-llama/llama-models,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,2
Llama-3.1-70B-Instruct,70B,Meta,2024-07-23,1.0,0.5830039525691699,0.492644655116051,0.7422680412371134,0.061635220125786164,0.10344827586206896,0.20334928229665072,https://github.com/meta-llama/llama-models,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,4
Llama-3.1-405B-Instruct,405B,Meta,2024-07-23,0.2421708516420809,0.4367588932806324,0.492644655116051,0.7422680412371134,0.061635220125786164,0.10344827586206896,0.20334928229665072,https://github.com/meta-llama/llama-models,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,4
Qwen2.5-72B-Instruct,72B,Alibaba,2024-09-19,0.11015376064674083,0.3705533596837945,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,2
Qwen2.5-32B-Instruct,32B,Alibaba,2024-09-19,0.030799671460364983,0.039525691699604744,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,2
Qwen2.5-14B-Instruct,14B,Alibaba,2024-09-19,0.02579803112616232,0.030632411067193676,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct,2
Qwen2.5-7B-Instruct,7B,Alibaba,2024-09-19,0.11761235632629229,0.17588932806324112,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,2
Qwen2.5-3B-Instruct,3B,Alibaba,2024-09-19,0.06218849738295119,0.0,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,2
Qwen2.5-0.5B-Instruct,0.5B,Alibaba,2024-09-19,0.10677616937179533,0.017786561264822136,1.0,0.5670103092783505,1.0,0.20689655172413793,0.15311004784688995,https://github.com/QwenLM/Qwen2.5,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,2
Granite-3-8B-Instruct,8B,IBM,2024-10-03,0.006681636740964569,0.07608695652173914,0.0,0.0,0.0,0.0,0.0,https://github.com/ibm-granite/granite-3.0-language-models,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,1
